empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
136,0.31,0.84,7,133,5,0,0,low,1
137,0.1,0.84,6,283,4,1,0,low,1
138,0.42,0.48,2,129,3,0,0,low,1
139,0.74,1,4,249,5,0,0,low,1
140,0.73,0.87,5,257,5,0,0,low,1
141,0.09,0.96,6,245,4,0,0,low,1
142,0.45,0.53,2,155,3,0,0,low,1
143,0.11,0.8,6,256,4,0,0,low,1
144,0.37,0.47,2,152,3,0,0,low,1
145,0.84,0.99,4,267,5,0,0,low,1
146,0.41,0.46,2,151,3,0,0,low,1
147,0.76,0.92,4,239,5,0,0,low,1
148,0.11,0.87,6,306,4,0,0,low,1
149,0.84,0.88,4,263,5,1,0,low,1
150,0.39,0.5,2,147,3,0,0,low,1
151,0.11,0.91,6,278,4,0,0,low,1
152,0.45,0.56,2,154,3,0,0,low,1
153,0.37,0.52,2,143,3,0,0,low,1
154,0.4,0.52,2,155,3,0,0,low,1
155,0.39,0.48,2,160,3,0,0,low,1
156,0.11,0.8,6,304,4,0,0,low,1
157,0.83,1,5,240,5,0,0,low,1
158,0.11,0.92,6,305,4,0,0,low,1
159,0.39,0.5,2,136,3,0,0,low,1
160,0.45,0.45,2,132,3,0,0,low,1
161,0.1,0.95,7,301,4,0,0,low,1
162,0.9,0.98,5,243,6,0,0,low,1
163,0.45,0.51,2,147,3,0,0,low,1
164,0.79,0.89,5,239,5,0,0,low,1
165,0.9,0.99,5,260,5,0,0,low,1
166,0.11,0.84,7,296,4,0,0,low,1
167,0.43,0.55,2,129,3,0,0,low,1
168,0.31,0.54,5,132,5,0,0,low,1
169,0.32,0.5,2,135,5,0,0,low,1
170,0.45,0.57,2,158,3,0,0,low,1
171,0.81,0.99,4,259,5,0,0,low,1
172,0.41,0.46,2,160,3,0,1,low,1
173,0.11,0.78,7,278,4,0,0,low,1
174,0.1,0.88,6,284,4,0,0,low,1
175,0.7,0.53,2,274,4,0,0,low,1
176,0.54,0.74,4,164,2,0,0,low,1
177,0.41,0.48,2,148,3,0,0,low,1
178,0.38,0.5,2,140,3,0,0,medium,1
179,0.37,0.51,2,127,3,0,0,medium,1
180,0.11,0.85,6,308,5,0,0,medium,1
181,0.4,0.47,2,146,3,0,0,medium,1
182,0.1,0.84,6,261,4,0,0,medium,1
183,0.89,0.99,5,257,5,0,0,medium,1
184,0.11,0.8,6,285,4,0,0,medium,1
185,0.36,0.55,2,141,3,0,0,medium,1
186,0.4,0.46,2,127,3,0,0,medium,1
187,0.09,0.85,6,297,4,0,0,medium,1
188,0.4,0.46,2,143,3,0,0,medium,1
189,0.37,0.55,2,152,3,0,0,medium,1
190,0.44,0.51,2,156,3,0,0,high,1
191,0.09,0.8,7,283,5,0,0,low,1
192,0.92,0.87,4,226,6,1,0,medium,1
193,0.74,0.91,4,232,5,0,0,medium,1
194,0.09,0.82,6,249,4,0,0,medium,1
195,0.89,0.95,4,275,5,0,0,medium,1
196,0.09,0.8,6,304,4,0,0,low,1
197,0.27,0.54,7,278,3,0,0,low,1
198,0.1,0.91,6,287,4,0,0,low,1
199,0.1,0.89,7,285,4,0,0,low,1
200,0.77,0.94,5,226,6,0,0,low,1
201,0.9,0.82,5,259,5,0,0,low,1
202,0.39,0.5,2,135,3,0,0,low,1
203,0.76,1,5,219,5,0,0,low,1
204,0.1,0.93,6,256,4,0,0,low,1
205,0.87,0.9,5,254,6,0,0,low,1
206,0.38,0.5,2,153,3,0,0,low,1
207,0.77,0.99,5,228,5,0,0,low,1
208,0.78,0.87,4,228,5,0,0,low,1
209,0.44,0.5,2,128,3,0,0,low,1
210,0.38,0.52,2,153,3,0,0,low,1
211,0.43,0.46,2,156,3,0,0,low,1
212,0.39,0.5,4,294,3,0,0,low,1
213,0.88,1,5,219,5,0,0,low,1
214,0.45,0.46,2,153,3,0,0,low,1
215,0.4,0.53,2,151,3,0,0,low,1
216,0.36,0.51,2,155,3,0,0,low,1
217,0.36,0.48,2,158,3,0,0,low,1
218,0.9,0.98,5,245,5,0,0,low,1
219,0.43,0.53,2,131,3,0,0,low,1
220,0.89,0.87,5,225,5,0,0,low,1
221,0.1,0.84,6,286,4,0,0,low,1
222,0.37,0.5,2,135,3,0,0,low,1
223,0.37,0.51,2,153,3,0,0,low,1
224,0.87,0.9,5,252,5,0,0,low,1
225,0.4,0.56,2,149,3,0,0,low,1
226,0.9,0.97,4,258,5,0,0,low,1
227,0.37,0.46,2,158,3,0,0,low,1
228,0.44,0.54,2,149,3,0,0,low,1
229,0.85,0.95,5,236,5,0,0,low,1
230,0.78,0.98,5,239,6,0,0,low,1
231,0.42,0.47,2,159,3,0,0,low,1
232,0.92,0.99,5,255,6,0,0,low,1
233,0.11,0.83,6,244,4,0,0,low,1
234,0.42,0.56,2,134,3,0,0,low,1
235,0.48,0.57,4,270,4,0,0,low,1
236,0.83,0.85,4,255,5,0,0,low,1
237,0.4,0.53,2,151,3,0,0,low,1
238,0.43,0.45,2,135,3,0,0,low,1
239,0.43,0.53,2,146,3,0,0,low,1
240,0.1,0.97,7,254,4,0,0,low,1
241,0.1,0.87,7,289,4,0,0,low,1
242,0.37,0.46,2,156,3,0,0,low,1
243,0.38,0.53,2,156,3,0,0,low,1
244,0.4,0.5,2,128,3,0,0,low,1
245,0.89,0.86,5,275,5,0,0,low,1
246,0.45,0.46,2,155,3,0,0,low,1
247,0.37,0.48,2,159,3,0,0,low,1
248,0.46,0.49,2,148,3,0,0,low,1
249,0.87,0.91,4,228,5,0,0,low,1
250,0.11,0.84,6,298,4,0,0,low,1
251,0.79,0.87,5,261,5,0,0,low,1
252,0.79,0.92,5,254,6,0,0,low,1
253,0.19,0.59,7,192,3,0,0,low,1
254,0.87,0.98,4,248,5,0,0,low,1
255,0.6,0.92,2,258,5,0,0,low,1
256,0.44,0.45,2,156,3,0,0,medium,1
257,0.11,0.81,6,266,4,1,0,medium,1
258,0.42,0.54,2,156,3,0,0,medium,1
259,0.88,0.88,5,232,5,1,0,medium,1
260,0.11,0.84,6,287,4,0,0,medium,1
261,0.46,0.46,2,154,3,0,0,medium,1
262,0.82,0.97,5,263,5,0,0,medium,1
263,0.44,0.56,2,131,3,0,0,medium,1
264,0.11,0.78,6,260,4,0,0,medium,1
265,0.42,0.5,2,139,3,0,0,medium,1
266,0.84,0.93,4,251,5,0,0,medium,1
267,0.11,0.95,6,286,4,0,0,medium,1
268,0.45,0.53,2,129,3,0,0,high,1
269,0.38,0.56,2,156,3,0,0,low,1
270,0.38,0.86,6,139,6,0,0,medium,1
271,0.44,0.51,2,127,3,0,0,medium,1
272,0.11,0.84,6,251,4,0,0,medium,1
273,0.81,0.93,5,270,5,0,0,medium,1
274,0.09,0.96,6,296,4,0,0,low,1
275,0.11,0.9,6,254,4,0,0,low,1
276,0.81,0.95,5,238,6,0,0,low,1
277,0.1,0.97,6,267,4,1,0,low,1
278,0.74,0.89,5,229,6,0,0,low,1
279,0.09,0.78,6,254,4,0,0,low,1
280,0.82,0.81,4,233,4,1,0,low,1
281,0.1,0.98,6,268,4,0,0,low,1
282,0.27,0.56,3,301,3,0,0,low,1
283,0.83,0.92,5,267,6,0,0,low,1
284,0.1,0.93,6,289,4,1,0,low,1
285,0.38,0.47,2,144,3,0,0,low,1
286,0.4,0.56,2,148,3,0,0,low,1
287,0.11,0.83,6,306,4,0,0,low,1
288,0.11,0.79,6,292,4,0,1,low,1
289,0.82,0.91,5,232,5,0,0,low,1
290,0.36,0.48,2,137,3,0,0,low,1
291,0.4,0.46,2,128,3,0,0,low,1
292,0.87,0.84,5,231,5,0,0,low,1
293,0.41,0.49,2,146,3,0,0,low,1
294,0.11,0.91,6,308,4,1,0,low,1
295,0.1,0.93,6,253,4,0,0,medium,1
296,0.38,0.51,2,146,3,0,0,medium,1
297,0.39,0.55,2,156,3,0,0,medium,1
298,0.4,0.52,2,147,3,0,0,medium,1
299,0.45,0.48,2,136,3,0,0,medium,1
300,0.74,0.84,5,249,5,0,0,medium,1
301,0.45,0.55,2,151,3,0,0,medium,1
302,0.12,1,3,278,4,0,0,medium,1
303,0.1,0.77,7,250,5,0,0,medium,1
304,0.37,0.55,2,127,3,0,0,medium,1
305,0.89,0.87,5,255,5,0,0,medium,1
306,0.45,0.47,2,135,3,0,0,medium,1
307,0.37,0.46,2,149,3,0,0,high,1
308,0.11,0.81,5,287,4,0,0,low,1
309,0.41,0.48,2,145,3,0,0,medium,1
310,0.1,0.94,6,285,4,0,0,medium,1
311,0.1,0.93,7,305,4,0,0,medium,1
312,0.11,0.95,7,300,4,0,0,medium,1
313,0.4,0.54,2,139,3,0,0,low,1
314,0.41,0.49,2,130,3,0,0,low,1
315,0.1,0.81,6,268,4,0,0,low,1
316,0.73,0.86,4,245,6,0,0,low,1
317,0.43,0.47,2,135,3,0,0,low,1
318,0.37,0.46,2,153,3,0,0,low,1
319,0.11,0.94,6,276,4,0,0,low,1
320,0.4,0.46,2,130,3,0,0,low,1
321,0.41,0.54,2,153,3,1,0,low,1
322,0.82,0.84,5,244,5,0,0,low,1
323,0.61,0.47,2,253,3,0,0,low,1
324,0.11,0.91,7,287,4,0,0,low,1
325,0.37,0.45,2,131,3,0,0,low,1
326,0.41,0.52,2,135,3,0,0,low,1
327,0.37,0.52,2,157,3,0,0,low,1
328,0.88,0.99,5,262,6,0,0,low,1
329,0.1,0.85,6,266,4,0,0,low,1
330,0.44,0.48,2,148,3,0,0,low,1
331,0.38,0.57,2,140,3,0,0,low,1
332,0.11,0.85,7,302,4,0,0,low,1
333,0.09,0.98,6,271,4,0,0,low,1
334,0.45,0.52,2,145,3,0,0,medium,1
335,0.1,0.81,6,290,4,0,0,medium,1
336,0.45,0.47,2,151,3,0,0,medium,1
337,0.77,0.87,5,266,5,0,0,medium,1
338,0.44,0.51,2,140,3,0,0,medium,1
339,0.39,0.5,2,142,3,0,0,medium,1
340,0.1,0.91,6,246,4,0,0,medium,1
341,0.09,0.89,7,308,5,0,0,medium,1
342,0.37,0.47,2,141,3,0,0,medium,1
343,0.9,1,5,232,5,0,0,medium,1
344,0.41,0.56,2,143,3,0,0,medium,1
345,0.37,0.52,2,155,3,0,0,medium,1
346,0.1,0.86,6,278,4,0,0,high,1
347,0.81,1,4,253,5,0,0,low,1
348,0.11,0.8,6,282,4,0,0,medium,1
349,0.11,0.84,7,264,4,0,0,medium,1
350,0.4,0.46,2,149,3,0,0,medium,1
351,0.09,0.8,6,304,5,0,0,medium,1
352,0.48,0.93,3,219,6,0,0,low,1
353,0.91,0.91,4,262,6,0,0,low,1
354,0.43,0.57,2,135,3,0,0,low,1
355,0.33,0.88,6,219,5,0,0,low,1
356,0.41,0.57,2,136,3,0,0,low,1
357,0.41,0.55,2,154,3,0,0,low,1
358,0.37,0.54,2,149,3,0,0,low,1
359,0.31,0.62,6,135,5,0,0,low,1
360,0.09,0.91,6,275,4,0,0,low,1
361,0.1,0.87,6,290,4,0,0,low,1
362,0.76,0.9,4,263,5,0,0,low,1
363,0.41,0.54,2,145,3,0,0,low,1
364,0.72,0.96,5,267,5,0,0,low,1
365,0.4,0.5,2,141,3,1,0,low,1
366,0.91,0.87,4,235,5,0,0,low,1
367,0.1,0.83,6,258,4,0,0,low,1
368,0.4,0.56,2,131,3,0,0,low,1
369,0.82,0.86,5,243,5,0,0,low,1
370,0.1,0.82,6,266,4,0,0,low,1
371,0.37,0.45,2,142,3,0,0,low,1
372,0.36,0.51,2,135,3,0,0,low,1
373,0.39,0.48,2,141,3,0,0,medium,1
374,0.36,0.57,2,142,3,0,0,medium,1
375,0.86,0.84,5,254,5,0,0,medium,1
376,0.73,0.99,5,262,5,0,0,medium,1
377,0.56,0.71,4,296,2,0,0,medium,1
378,0.44,0.56,2,158,3,0,0,medium,1
379,0.31,0.56,4,238,2,0,0,medium,1
380,0.77,0.93,4,231,5,0,0,medium,1
381,0.44,0.45,2,156,3,0,0,medium,1
382,0.38,0.46,2,145,3,0,0,medium,1
383,0.45,0.48,2,144,3,0,0,medium,1
384,0.38,0.51,2,159,3,0,0,medium,1
385,0.36,0.48,2,156,3,0,0,high,1
386,0.75,0.9,5,256,5,0,0,low,1
387,0.1,0.93,6,298,4,0,0,medium,1
388,0.1,0.97,6,247,4,0,0,medium,1
389,0.45,0.5,2,157,3,0,0,medium,1
390,0.42,0.57,2,154,3,1,0,medium,1
391,0.78,1,4,253,5,0,0,low,1
392,0.45,0.55,2,148,3,0,0,low,1
393,0.84,1,4,261,5,0,0,low,1
394,0.11,0.93,6,282,4,0,0,low,1
395,0.42,0.56,2,133,3,0,0,low,1
396,0.45,0.46,2,128,3,0,0,low,1
397,0.46,0.57,2,139,3,0,0,low,1
398,0.09,0.79,6,293,5,0,0,low,1
399,0.87,0.83,4,265,6,0,0,low,1
400,0.1,0.87,6,250,4,0,0,low,1
401,0.91,1,5,251,6,0,0,low,1
402,0.76,0.92,4,246,5,0,0,low,1
403,0.74,1,5,275,5,0,0,low,1
404,0.92,0.93,5,240,5,0,0,low,1
405,0.76,0.87,5,245,5,0,0,low,1
406,0.47,0.5,4,254,4,0,0,low,1
407,0.73,0.99,5,241,5,0,0,low,1
408,0.09,0.94,6,257,4,0,0,low,1
409,0.91,0.92,4,246,5,0,0,low,1
410,0.82,0.98,4,233,5,0,0,low,1
411,0.28,0.45,6,218,4,0,0,low,1
412,0.84,0.99,4,262,6,0,0,medium,1
413,0.45,0.53,2,138,3,0,0,medium,1
414,0.45,0.54,2,142,3,0,0,medium,1
415,0.91,0.97,5,233,5,0,0,medium,1
416,0.42,0.48,2,155,3,0,0,medium,1
417,0.82,1,4,229,6,0,0,medium,1
418,0.11,0.9,6,264,4,0,0,medium,1
419,0.42,0.53,3,199,4,0,0,medium,1
420,0.82,0.85,4,223,5,0,0,medium,1
421,0.09,0.96,6,268,4,0,0,medium,1
422,0.1,0.94,6,287,4,0,0,medium,1
423,0.86,1,5,257,5,0,0,medium,1
424,0.4,0.46,2,143,3,0,0,high,1
425,0.45,0.46,2,130,3,0,0,low,1
426,0.42,0.51,2,136,3,0,0,medium,1
427,0.74,0.92,4,261,5,0,0,medium,1
428,0.55,0.6,3,180,4,0,0,medium,1
429,0.37,0.45,2,126,3,0,0,medium,1
430,0.41,0.52,2,127,3,1,0,low,1
431,0.89,0.65,5,195,6,0,0,low,1
432,0.41,0.57,2,160,3,0,0,low,1
433,0.44,0.51,2,150,3,0,0,low,1
434,0.87,0.84,4,264,6,0,0,low,1
435,0.1,0.84,6,309,4,0,0,low,1
436,0.41,0.47,2,135,3,0,0,low,1
437,0.11,0.85,6,261,4,0,0,low,1
438,0.43,0.53,2,160,3,0,0,low,1
439,0.77,0.9,4,237,5,0,0,low,1
440,0.41,0.52,2,136,3,0,0,low,1
441,0.41,0.48,2,139,3,0,0,low,1
442,0.36,0.78,2,151,4,0,0,low,1
443,0.77,1,5,229,5,0,0,low,1
444,0.81,0.98,5,245,5,0,0,low,1
445,0.39,0.54,2,127,3,0,0,low,1
446,0.09,0.94,6,283,5,0,0,low,1
447,0.44,0.46,2,143,3,0,0,low,1
448,0.1,0.84,5,298,4,0,0,low,1
449,0.36,0.48,2,159,3,0,0,low,1
450,0.81,0.92,5,239,5,0,0,low,1
451,0.81,0.9,4,226,5,0,0,medium,1
452,0.85,0.98,5,248,5,0,0,medium,1
453,0.1,0.87,6,286,4,0,0,medium,1
454,0.37,0.54,2,145,3,0,0,medium,1
455,0.09,0.97,7,254,4,1,0,medium,1
456,0.44,0.53,2,127,3,0,0,medium,1
457,0.86,0.93,5,223,5,0,0,medium,1
458,0.77,1,4,255,5,0,0,medium,1
459,0.41,0.48,2,136,3,0,0,medium,1
460,0.4,0.48,2,137,3,0,0,medium,1
461,0.43,0.49,2,135,3,0,0,medium,1
462,0.43,0.5,2,137,3,0,0,medium,1
463,0.8,0.53,3,255,5,0,0,high,1
464,0.8,0.85,4,273,5,0,0,low,1
465,0.82,0.98,5,234,5,0,0,medium,1
466,0.37,0.54,2,152,3,0,0,medium,1
467,0.37,0.48,2,134,3,0,0,medium,1
468,0.09,0.95,6,292,4,0,0,medium,1
469,0.9,0.92,5,245,5,0,0,low,1
470,0.41,0.52,2,159,3,0,0,low,1
471,0.1,0.85,6,260,4,0,0,low,1
472,0.44,0.53,2,149,3,0,0,low,1
473,0.89,0.85,5,266,5,0,0,low,1
474,0.42,0.56,2,149,3,0,0,low,1
475,0.87,1,5,242,5,0,0,low,1
476,0.45,0.57,2,134,3,0,0,low,1
477,0.11,0.87,5,271,4,0,0,low,1
478,0.09,0.79,6,275,4,0,0,low,1
479,0.76,0.83,5,227,5,0,0,low,1
480,0.11,0.96,7,277,5,0,0,low,1
481,0.37,0.49,2,151,3,0,0,low,1
482,0.1,0.79,6,274,4,0,0,low,1
483,0.77,0.87,4,242,6,0,0,low,1
484,0.42,0.54,2,143,3,1,0,low,1
485,0.38,0.52,2,145,3,0,0,low,1
486,0.32,0.95,5,172,2,0,0,low,1
487,0.38,0.49,2,135,3,0,0,low,1
488,0.19,1,4,192,4,0,0,low,1
489,0.1,0.83,7,276,4,0,0,low,1
490,0.76,0.88,4,206,4,0,0,medium,1
491,0.53,0.56,4,281,6,0,0,medium,1
492,0.39,0.51,2,151,3,0,0,medium,1
493,0.11,0.83,6,244,4,0,0,medium,1
494,0.1,0.94,6,309,4,0,0,medium,1
495,0.84,1,5,218,5,0,0,medium,1
496,0.82,0.99,4,263,6,0,0,medium,1
497,0.1,0.82,6,244,4,0,0,medium,1
498,0.59,0.49,7,263,4,0,0,medium,1
499,0.44,0.48,2,143,3,0,0,medium,1
500,0.89,0.95,2,181,5,0,0,medium,1
501,0.91,0.84,5,265,5,0,0,medium,1
502,0.66,0.57,5,161,5,0,0,high,1
503,0.11,0.87,7,282,5,0,0,low,1
504,0.43,0.51,2,155,3,0,0,medium,1
505,0.78,0.83,4,217,6,0,0,medium,1
506,0.11,0.97,6,289,5,0,0,medium,1
507,0.83,0.98,4,259,5,0,0,medium,1
508,0.39,0.54,2,158,3,0,0,low,1
509,0.38,0.55,2,158,3,0,0,low,1
510,0.37,0.57,2,155,3,0,0,low,1
511,0.44,0.48,2,146,3,0,0,low,1
512,0.53,0.85,2,164,5,0,0,low,1
513,0.09,0.96,6,259,4,0,0,low,1
514,0.11,0.89,6,293,4,0,0,low,1
515,0.83,0.96,5,275,5,0,0,low,1
516,0.88,1,5,219,6,1,0,low,1
517,0.1,0.89,6,247,4,0,0,low,1
518,0.09,0.86,7,309,4,0,0,low,1
519,0.44,0.54,2,151,3,0,0,low,1
520,0.39,0.51,2,129,3,0,0,low,1
521,0.87,0.94,4,274,5,0,0,low,1
522,0.74,0.99,4,233,5,0,0,low,1
523,0.1,0.95,7,289,4,0,0,low,1
524,0.74,0.82,4,239,6,0,0,low,1
525,0.75,0.99,5,221,5,0,0,low,1
526,0.41,0.56,2,150,3,0,0,low,1
527,0.41,0.45,2,144,3,1,0,low,1
528,0.09,0.9,7,289,4,0,0,low,1
529,0.09,0.8,6,301,5,0,0,medium,1
530,0.39,0.57,2,145,3,0,0,medium,1
531,0.4,0.56,2,137,3,0,0,medium,1
532,0.37,0.54,2,131,3,1,0,medium,1
533,0.1,0.84,6,246,4,0,0,medium,1
534,0.43,0.51,2,136,3,0,0,medium,1
535,0.75,0.85,5,240,6,1,0,medium,1
536,0.37,0.56,2,156,3,0,0,medium,1
537,0.11,0.85,6,305,4,0,0,medium,1
538,0.45,0.45,2,154,3,1,0,medium,1
539,0.87,1,5,261,5,1,0,medium,1
540,0.11,0.94,7,244,4,0,0,medium,1
541,0.45,0.54,2,129,3,0,0,high,1
542,0.81,0.87,4,254,5,0,0,low,1
543,0.77,0.91,5,236,5,0,0,medium,1
544,0.89,0.92,5,237,5,0,0,medium,1
545,0.43,0.49,2,135,3,0,0,medium,1
546,0.78,1,5,236,5,0,0,medium,1
547,0.37,0.47,2,149,3,0,0,low,1
548,0.37,0.5,2,141,3,0,0,low,1
549,0.85,0.82,4,270,5,0,0,low,1
550,0.41,0.47,2,138,3,0,0,low,1
551,0.11,0.96,6,298,4,0,0,low,1
552,0.75,0.99,5,254,5,0,0,low,1
553,0.82,0.85,5,248,5,0,0,low,1
554,0.79,1,5,257,6,0,0,low,1
555,0.43,0.53,2,150,3,0,0,low,1
556,0.1,0.9,7,281,4,0,0,low,1
557,0.46,0.48,2,141,3,1,0,low,1
558,0.43,0.57,2,157,3,0,0,low,1
559,0.43,0.55,2,136,3,0,0,low,1
560,0.11,0.8,7,296,4,0,0,low,1
561,0.09,0.86,6,279,4,0,0,low,1
562,0.37,0.53,2,131,3,0,0,low,1
563,0.4,0.57,2,160,3,0,0,low,1
564,0.1,0.77,7,291,4,0,0,low,1
565,0.41,0.53,2,157,3,0,0,low,1
566,0.79,0.58,3,294,4,0,0,low,1
567,0.11,0.79,7,310,4,0,0,low,1
568,0.1,0.97,6,282,4,0,0,medium,1
569,0.44,0.51,2,134,3,0,0,medium,1
570,0.25,0.46,4,214,4,0,0,medium,1
571,0.44,0.52,2,137,3,0,0,medium,1
572,0.73,1,4,252,5,0,0,medium,1
573,0.75,0.97,5,243,6,0,0,medium,1
